□ 환승역 환승거리 및 소요시간,,,,
"[환승소요시간 산출 : 159m/1.2m(초당 이동거리) = 132.5초 ∴ 2분 13초]
환승거리는 환승연결통로 최단거리 기준",,,,
호선,환승역명,환승노선,환승거리(m),환승 소요시간(초)
1,서울역,1→4호선,159,2분 13초
1,서울역,1→공항철도,365,5분 4초
1,시 청,1→2호선,101,1분 25초
1,종로3가,1→3호선,118,1분 39초
1,종로3가,1→5호선,312,4분 20초
1,동대문,1→4호선,194,2분 42초
1,동묘앞,1→6호선,96,1분 20초
1,신설동,1→2호선,159,2분 13초
1,청량리,1→국철,165,2분 17초
2,시 청,2→1호선,101,1분 25초
2,신설동,2→1호선,159,2분 13초
2,을지로3가,2→3호선,149,2분 5초
2,을지로4가,2→5호선,77,1분 5초
2,동대문,2→4호선,45,38초
2,역사문화공원,2→5호선,234,3분 15초
2,신 당,2→6호선,242,3분 22초
2,왕십리,2→중앙선,99,1분 23초
2,왕십리,2→5호선,86,1분 12초
2,왕십리,2→분당선,175,2분 26초
2,성 수,2→지선,23,20초
2,건대입구,2→7호선,77,1분 5초
2,잠 실,2→8호선,190,2분 39초
2,종합운동장,2→9호선,94,1분 18초
2,선 릉,2→분당선,81,1분 8초
2,강 남,2→신분당선,214,2분 58초
2,교 대,2→3호선,75,1분 3초
2,사 당,2→4호선,74,1분 2초
2,대 림,2→7호선,276,3분 50초
2,신도림,2→지선,81,1분 8초
2,신도림,2→국철,81,1분 8초
2,영등포구청,2→5호선,110,1분 32초
2,당 산,2→9호선,105,1분 28초
2,합 정,2→6호선,82,1분 9초
2,홍대입구,2→공항철도,355,4분 56초
2,홍대입구,2→경의선,414,5분 45초
2,충정로,2→5호선,212,2분 57초
3,종로3가,3→1호선,118,1분 39초
3,종로3가,3→5호선,117,1분 38초
3,을지로3가,3→2호선,149,2분 5초
3,교 대,3→2호선,75,1분 3초
3,양 재,3→신분당선,93,1분 18초
3,연신내,3→6호선,181,2분 31초
3,불 광,3→6호선,100,2분
3,충무로,3→4호선,17,15초
3,약 수,3→6호선,130,1분 49초
3,옥 수,3→국철,155,2분 10초
3,고속터미널,3→7호선,169,2분 21초
3,고속터미널,3→9호선,155,2분 10초
3,도 곡,3→분당선,78,1분 5초
3,수 서,3→분당선,92,1분 17초
3,가락시장,3→8호선,35,30초
3,오 금,3→5호선,65,55초
4,서울역,4→1호선,159,2분 13초
4,동대문,4→1호선,194,2분 42초
4,동대문,4→공항철도,255,3분 33초
4,동대문,4→2호선,45,38초
4,역사문화공원,4→5호선,107,1분 30초
4,사 당,4→2호선,74,1분 2초
4,충무로,4→3호선,17,15초
4,노 원,4→7호선,278,3분 52초
4,창 동,4→국철,84,1분 10초
4,이 촌,4→중앙선,78,1분 5초
4,삼각지,4→6호선,155,2분 10초
4,동 작,4→9호선,245,3분 25초
4,총신대입구,4→7호선,171,2분 23초
